BN,legal_name,account_name,address1,address2,city,province,postal_code,country,sector,org_size,volunteers_currently_needed,volunteer_urgency,skills_needed,languages_needed,availability_preference,background_check_required
886937309RR0001,SIDEBYSIDE II CHILDREN'S VILLAGE SOCIETY,SOS II CHILDREN'S VILLAGE BRITISH COLUMBIA (CANADA) SOCIETY,805 WEST BROADWAY,12TH FLOOR,VANCOUVER,BC,V5Z1K1,CA,Youth services,Micro (1-5 staff),6,High,Tutoring/mentorship; Event coordination,English; Mandarin,Weekdays preferred,Yes
807314349RR0001,SHAHADA A SOCIETY FOR UNITING CHILDREN WITH PARENTS,SHAHADA A SOCIETY FOR UNITING CHILDREN WITH PARENTS,220-2747 HASTINGS ST E,,VANCOUVER,BC,V5K1Z8,CA,Youth services,Micro (1-5 staff),9,Medium,Arts facilitation; Tutoring/mentorship,English,Weekday mornings,Yes
889431003RR0001,KIDS HELPING KIDS FOUNDATION,KIDS HELPING KIDS FOUNDATION,1720 TRAFALGAR ST,,VANCOUVER,BC,V6K3R8,CA,Youth services,Small (6-15 staff),7,High,Childcare support; Arts facilitation; Event coordination,English,Weekday evenings,Yes
863704920RR0001,CANUCK PLACE CHILDREN'S HOSPICE FOUNDATION,CANUCK PLACE CHILDREN'S HOSPICE FOUNDATION,1690 MATTHEWS AVE,,VANCOUVER,BC,V6J2T2,CA,Youth services,Small (6-15 staff),13,High,Event coordination; Tutoring/mentorship,English,Flexible,Yes
866922214RR0001,THE PACE CHILD AND FAMILY SOCIETY,THE PACE CHILD AND FAMILY SOCIETY,1524 W 65 AVENUE,,VANCOUVER,BC,V6P2R1,CA,Youth services,Medium (16-50 staff),14,Low,Arts facilitation; Event coordination,English,Weekday evenings,Yes
751779695RR0001,HARVEST OF HOPE SOCIETY,Harvest of Hope Society,312 - 4885 VALLEY DR,,VANCOUVER,BC,V6J5M7,CA,Food security,Small (6-15 staff),11,Critical,Driving/transportation; Event coordination; Cooking/food prep,English; Cantonese,Weekday afternoons,No
892231572RR0001,FARMFOLK/CITYFOLK SOCIETY,FARMFOLK/CITYFOLK SOCIETY,4228 VICTORIA DR,,VANCOUVER,BC,V5N4N4,CA,Food security,Small (6-15 staff),8,High,Event coordination; Driving/transportation; Administrative support,English; Cantonese,Weekdays preferred,No
769422676RR0001,VANCOUVER FOOD RUNNERS SOCIETY,Vancouver Food Runners Society,303 - 2912 BROADWAY W,,VANCOUVER,BC,V6K0E9,CA,Food security,Micro (1-5 staff),8,Medium,Driving/transportation,English,Weekdays preferred,Yes
889670733RR0001,POINT GREY LOW COST STUDENT HOUSING ASSOCIATION,POINT GREY LOW COST STUDENT HOUSING ASSOCIATION,LEWIS & COMPANY,1610-1055 WEST HASTINGS ST,VANCOUVER,BC,V6E2E9,CA,Housing & homelessness,Medium (16-50 staff),12,Medium,Mental health support; Outreach/community engagement,English; Punjabi,Weekday mornings,Yes
816275895RR0001,WEST END MENNONITE HOUSING SOCIETY,West End Mennonite Housing Society,100-1515 CHARLES ST,,VANCOUVER,BC,V5L2T2,CA,Housing & homelessness,Medium (16-50 staff),16,Low,Administrative support; Mental health support; Driving/transportation,English; Vietnamese,Weekday afternoons,Yes
